#Time, s	DA-A-D HemK 112
24.4621	2.950163
24.6331	2.689986
24.8052	2.787299
24.9785	2.817486
25.153	3.073143
25.3288	3.007729
25.5057	2.870532
25.6839	2.8258
25.8633	3.181687
26.044	3.317829
26.2259	2.738101
26.4091	3.016577
26.5935	3.137927
26.7793	2.933631
26.9663	3.351947
27.1546	3.11693
27.3442	2.919127
27.5351	3.265029
27.7274	3.314651
27.9209	2.891748
28.1159	3.566829
28.3121	3.096879
28.5098	3.435947
28.7088	3.537916
28.9092	3.33988
29.111	3.423004
29.3141	3.291395
29.5187	3.128586
29.7247	3.399186
29.9321	3.482145
30.141	3.28934
30.3513	3.432413
30.5631	3.398597
30.7763	3.622587
30.9911	3.522261
31.2073	3.403692
31.425	3.532972
31.6442	3.444233
31.8649	3.286902
32.0872	3.420538
32.311	4.008483
32.5363	3.535848
32.7632	3.535465
32.9917	3.476735
33.2218	3.506333
33.4535	3.524973
33.6867	3.625149
33.9216	3.658486
34.1582	3.422209
34.3963	3.707793
34.6361	3.724448
34.8776	3.700808
35.1208	3.627792
35.3656	3.715764
35.6121	3.825061
35.8604	3.744499
36.1103	3.803695
36.362	3.537451
36.6154	3.738747
36.8706	3.634613
37.1276	3.801175
37.3863	3.670881
37.6469	3.780123
37.9092	3.836895
38.1734	3.802284
38.4394	3.872697
38.7072	3.927565
38.9769	3.735145
39.2485	3.668046
39.5219	3.843058
39.7972	3.735596
40.0745	3.853399
40.3536	3.845579
40.6348	3.717353
40.9178	3.860686
41.2028	3.630121
41.4898	3.71071
41.7788	3.44137
42.0698	3.627737
42.3628	4.115302
42.6578	3.838895
42.9549	3.825061
43.254	3.719859
43.5552	3.769947
43.8585	4.033794
44.1639	3.872917
44.4715	3.777877
44.7811	3.939454
45.0929	3.851564
45.4068	3.816529
45.723	3.965586
46.0413	3.694809
46.3618	3.848208
46.6846	3.62067
47.0096	4.132107
47.3368	4.027713
47.6663	3.937002
47.9981	4.018509
48.3322	3.940111
48.6686	3.982926
49.0074	3.64053
49.3484	3.611713
49.6919	3.793491
50.0377	3.673867
50.386	4.122506
50.7366	3.747704
51.0897	3.800737
51.4452	3.788232
51.8032	4.024029
52.1637	4.068707
52.5266	3.843552
52.8921	3.924305
53.2601	4.004251
53.6307	4.201452
54.0038	3.745198
54.3796	3.966312
54.7579	3.679044
55.1388	3.995362
55.5224	4.057243
55.9087	4.10518
56.2976	3.846359
56.6892	3.973517
57.0836	4.170882
57.4806	3.837073
57.8805	3.686221
58.2831	3.848181
58.6884	3.916896
59.0966	3.866822
59.5076	3.876231
59.9215	3.722366
60.3383	3.781562
60.7579	3.682742
61.1804	3.566172
61.6059	3.847496
62.0343	3.832951
62.4657	3.585059
62.9001	3.597961
63.3375	3.954054
63.7779	3.753046
64.2214	3.955424
64.6679	3.702657
65.1176	3.752703
65.5703	3.966696
66.0262	3.916485
66.4853	3.773905
66.9475	4.153131
67.413	3.785575
67.8816	3.638147
68.3536	3.938317
68.8288	3.833348
69.3072	3.962532
69.789	3.904336
70.2742	3.833033
70.7627	3.70667
71.2546	3.701753
71.7499	4.116206
72.2486	4.124067
72.7508	3.944467
73.2565	3.937262
73.7656	3.980201
74.2783	3.982871
74.7946	3.797915
75.3144	4.048299
75.8379	4.021742
76.365	4.161897
76.8957	3.883901
77.4301	3.966778
77.9682	3.90587
78.51	3.959779
79.0556	3.916814
79.605	3.476516
80.1582	3.829581
80.7152	3.724516
81.276	3.908815
81.8408	4.04093
82.4095	4.011223
82.9821	3.78263
83.5587	3.915307
84.1393	3.860768
84.7239	3.768262
85.3126	3.731268
85.9053	4.011031
86.5022	4.144585
87.1032	3.762031
87.7083	3.880929
88.3177	3.881573
88.9313	3.998745
89.5491	3.977187
90.1712	4.126136
90.7976	3.884558
91.4284	3.947151
92.0635	3.689892
92.703	3.574623
93.347	3.973298
93.9955	3.73157
94.6484	4.143941
95.3058	3.749758
95.9679	3.906528
96.6345	3.745842
97.3057	4.139531
97.9816	4.242815
98.6621	3.694261
99.3474	3.875656
100.037	3.857796
100.732	3.876875
101.432	3.854057
102.136	3.932688
102.846	3.877354
103.56	3.700931
104.279	3.96597
105.003	4.161979
105.733	3.955739
106.467	3.851879
107.206	3.864439
107.951	4.07272
108.701	3.89179
109.455	3.612164
110.215	3.741363
110.981	3.989418
111.752	3.918224
112.528	3.947329
113.309	3.734555
114.096	3.824294
114.888	3.964696
115.686	3.942741
116.489	3.78263
117.298	4.059146
118.112	3.908445
118.932	4.117151
119.758	3.892461
120.59	4.007073
121.427	3.960587
122.27	3.847661
123.119	4.148091
123.974	3.993431
124.835	4.148776
125.701	3.944494
126.574	3.787876
127.453	3.709368
128.338	3.96119
129.229	3.854577
130.126	3.809187
131.029	4.004704
131.939	4.006004
132.855	3.788917
133.777	3.99287
134.706	4.100537
135.641	3.735569
136.582	3.825431
137.53	3.885586
138.485	4.002539
139.446	4.007169
140.414	3.917444
141.389	3.987692
142.371	3.86663
143.359	3.929414
144.354	3.960779
145.356	3.866123
146.365	3.78263
147.381	3.962587
148.404	3.9832
149.434	3.879518
150.471	3.782904
151.516	3.889845
152.567	3.948575
153.626	4.003868
154.692	4.182209
155.766	3.857782
156.847	4.147242
157.936	4.070802
159.032	3.716476
160.136	4.110289
161.247	4.059968
162.366	3.836429
163.493	4.048997
164.628	3.862206
165.77	3.612795
166.921	4.034137
168.079	4.042533
169.245	4.096921
170.42	3.853276
171.603	3.710368
172.794	4.076144
173.993	3.947274
175.2	3.880614
176.416	3.551709
177.64	3.821692
178.873	4.002868
180.114	4.049162
181.364	4.030138
182.623	3.95015
183.89	4.009524
185.166	3.889147
186.451	4.194837
187.745	4.021755
189.047	4.024522
190.359	3.773221
191.68	3.838114
193.01	3.712094
194.349	3.959656
195.698	4.330061
197.056	3.934633
198.423	3.995047
200	3.846907
