#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
125	1.240564e+00	3.694591e-02	3.317087e-02	5.600000e-01	-3.116116e+03	-2.792052e+03	-3.240643e+02
126	1.252780e+00	3.712738e-02	3.317087e-02	5.500000e-01	-3.116208e+03	-2.792091e+03	-3.241170e+02
127	1.296087e+00	3.712738e-02	3.261198e-02	5.400000e-01	-3.117239e+03	-2.791906e+03	-3.253331e+02
128	1.275842e+00	3.683627e-02	3.261198e-02	5.500000e-01	-3.117065e+03	-2.791819e+03	-3.252464e+02
129	1.282356e+00	3.693018e-02	3.261198e-02	5.400000e-01	-3.117135e+03	-2.791861e+03	-3.252745e+02
130	1.278155e+00	3.686965e-02	3.261198e-02	5.300000e-01	-3.117092e+03	-2.791835e+03	-3.252564e+02
131	1.310861e+00	3.733839e-02	3.261198e-02	5.300000e-01	-3.117287e+03	-2.791892e+03	-3.253954e+02
132	1.388100e+00	3.733839e-02	3.169167e-02	5.200000e-01	-3.118990e+03	-2.791572e+03	-3.274181e+02
133	1.381894e+00	3.733839e-02	3.176276e-02	5.100000e-01	-3.118858e+03	-2.791597e+03	-3.272611e+02
134	1.395355e+00	3.751981e-02	3.176276e-02	5.000000e-01	-3.118852e+03	-2.791535e+03	-3.273163e+02
135	1.466245e+00	3.751981e-02	3.098542e-02	5.000000e-01	-3.120290e+03	-2.791249e+03	-3.290416e+02
136	1.473324e+00	3.751981e-02	3.091088e-02	5.000000e-01	-3.120428e+03	-2.791220e+03	-3.292078e+02
137	1.448170e+00	3.719813e-02	3.091088e-02	4.900000e-01	-3.120402e+03	-2.791297e+03	-3.291059e+02
138	1.481988e+00	3.762996e-02	3.091088e-02	5.000000e-01	-3.120403e+03	-2.791161e+03	-3.292424e+02
139	1.480236e+00	3.762996e-02	3.092917e-02	5.000000e-01	-3.120370e+03	-2.791168e+03	-3.292016e+02
140	1.499138e+00	3.786946e-02	3.092917e-02	5.100000e-01	-3.120259e+03	-2.790982e+03	-3.292762e+02
141	1.524098e+00	3.818342e-02	3.092917e-02	5.100000e-01	-3.119998e+03	-2.790625e+03	-3.293729e+02
142	1.526038e+00	3.818342e-02	3.090951e-02	5.100000e-01	-3.120034e+03	-2.790618e+03	-3.294169e+02
143	1.543475e+00	3.840095e-02	3.090951e-02	5.000000e-01	-3.119780e+03	-2.790296e+03	-3.294833e+02
144	1.575951e+00	3.840095e-02	3.058937e-02	5.000000e-01	-3.120377e+03	-2.790174e+03	-3.302026e+02
